id,time,values
4,2023:02:06 19:24:38,8.1
5,2023:02:06 19:24:38,405.2
1,2023:02:06 19:27:58,238.0
2,2023:02:06 19:27:58,200.7
3,2023:02:06 19:27:58,396.4
4,2023:02:06 19:27:58,168.1
5,2023:02:06 19:27:58,493.3
1,2023:02:06 19:31:18,437.5
2,2023:02:06 19:31:18,247.2
3,2023:02:06 19:31:18,318.7
4,2023:02:06 19:31:18,394.6
5,2023:02:06 19:31:18,369.5
1,2023:02:06 19:34:38,550.1
2,2023:02:06 19:34:38,435.0
3,2023:02:06 19:34:38,204.5
4,2023:02:06 19:34:38,74.3
5,2023:02:06 19:34:38,112.0
1,2023:02:06 19:37:58,377.5
2,2023:02:06 19:37:58,365.3
3,2023:02:06 19:37:58,60.6
4,2023:02:06 19:37:58,42.3
5,2023:02:06 19:37:58,37.8
1,2023:02:06 19:41:18,12.0
2,2023:02:06 19:41:18,350.4
3,2023:02:06 19:41:18,180.6
4,2023:02:06 19:41:18,232.6
5,2023:02:06 19:41:18,322.6
1,2023:02:06 19:44:38,187.1
2,2023:02:06 19:44:38,178.0
3,2023:02:06 19:44:38,591.7
4,2023:02:06 19:44:38,286.0
5,2023:02:06 19:44:38,147.2
1,2023:02:06 19:47:58,20.7
2,2023:02:06 19:47:58,196.7
3,2023:02:06 19:47:58,218.2
4,2023:02:06 19:47:58,8.0
5,2023:02:06 19:47:58,391.4
1,2023:02:06 19:51:18,194.0
2,2023:02:06 19:51:18,411.8
3,2023:02:06 19:51:18,441.6
4,2023:02:06 19:51:18,257.8
5,2023:02:06 19:51:18,173.0
1,2023:02:06 19:54:38,148.0
2,2023:02:06 19:54:38,154.8
3,2023:02:06 19:54:38,129.6
4,2023:02:06 19:54:38,288.2
5,2023:02:06 19:54:38,212.1
1,2023:02:06 19:57:58,465.7
2,2023:02:06 19:57:58,165.2
3,2023:02:06 19:57:58,429.0
4,2023:02:06 19:57:58,19.3
5,2023:02:06 19:57:58,403.2
1,2023:02:06 20:01:18,89.5
2,2023:02:06 20:01:18,481.3
3,2023:02:06 20:01:18,257.3
4,2023:02:06 20:01:18,141.6
5,2023:02:06 20:01:18,231.6
1,2023:02:06 20:04:38,477.2
2,2023:02:06 20:04:38,407.1
3,2023:02:06 20:04:38,92.6
4,2023:02:06 20:04:38,586.5
5,2023:02:06 20:04:38,150.8
1,2023:02:06 20:07:58,380.3
2,2023:02:06 20:07:58,70.5
3,2023:02:06 20:07:58,353.7
4,2023:02:06 20:07:58,213.8
5,2023:02:06 20:07:58,290.4
1,2023:02:06 20:11:18,30.0
2,2023:02:06 20:11:18,299.7
3,2023:02:06 20:11:18,136.0
4,2023:02:06 20:11:18,215.4
5,2023:02:06 20:11:18,500.1
1,2023:02:06 20:14:38,101.6
2,2023:02:06 20:14:38,47.2
3,2023:02:06 20:14:38,36.7
4,2023:02:06 20:14:38,378.4
5,2023:02:06 20:14:38,181.6
1,2023:02:06 20:17:58,104.5
2,2023:02:06 20:17:58,385.4
3,2023:02:06 20:17:58,352.4
4,2023:02:06 20:17:58,275.7
5,2023:02:06 20:17:58,524.6
1,2023:02:06 20:21:18,374.8
2,2023:02:06 20:21:18,257.0
3,2023:02:06 20:21:18,218.6
4,2023:02:06 20:21:18,240.5
5,2023:02:06 20:21:18,139.0
1,2023:02:06 20:24:38,252.8
2,2023:02:06 20:24:38,443.4
3,2023:02:06 20:24:38,93.5
4,2023:02:06 20:24:38,490.6
5,2023:02:06 20:24:38,372.2
1,2023:02:06 20:27:58,523.0
2,2023:02:06 20:27:58,448.7
3,2023:02:06 20:27:58,480.4
4,2023:02:06 20:27:58,392.8
5,2023:02:06 20:27:58,96.2
1,2023:02:06 20:31:18,170.0
2,2023:02:06 20:31:18,416.5
3,2023:02:06 20:31:18,140.5
4,2023:02:06 20:31:18,32.0
5,2023:02:06 20:31:18,209.4
1,2023:02:06 20:34:38,319.8
2,2023:02:06 20:34:38,390.4
3,2023:02:06 20:34:38,514.0
4,2023:02:06 20:34:38,61.3
5,2023:02:06 20:34:38,329.5
1,2023:02:06 20:37:58,490.3
2,2023:02:06 20:37:58,466.1
3,2023:02:06 20:37:58,180.6
4,2023:02:06 20:37:58,483.7
5,2023:02:06 20:37:58,422.7
1,2023:02:06 20:41:18,194.1
2,2023:02:06 20:41:18,31.2
3,2023:02:06 20:41:18,583.4
4,2023:02:06 20:41:18,254.4
5,2023:02:06 20:41:18,132.7
1,2023:02:06 20:44:38,58.2
2,2023:02:06 20:44:38,467.5
3,2023:02:06 20:44:38,154.7
4,2023:02:06 20:44:38,513.4
5,2023:02:06 20:44:38,464.7
1,2023:02:06 20:47:58,34.4
2,2023:02:06 20:47:58,267.7
3,2023:02:06 20:47:58,509.3
4,2023:02:06 20:47:58,5.6
5,2023:02:06 20:47:58,505.0
1,2023:02:06 20:51:18,162.8
2,2023:02:06 20:51:18,456.7
3,2023:02:06 20:51:18,58.2
4,2023:02:06 20:51:18,139.2
5,2023:02:06 20:51:18,161.2
1,2023:02:06 20:54:38,54.3
2,2023:02:06 20:54:38,445.5
3,2023:02:06 20:54:38,126.1
4,2023:02:06 20:54:38,439.5
5,2023:02:06 20:54:38,16.4
1,2023:02:06 20:57:58,422.2
2,2023:02:06 20:57:58,283.5
3,2023:02:06 20:57:58,392.7
4,2023:02:06 20:57:58,193.0
5,2023:02:06 20:57:58,27.8
1,2023:02:06 21:01:18,218.0
2,2023:02:06 21:01:18,483.8
3,2023:02:06 21:01:18,418.8
4,2023:02:06 21:01:18,436.1
5,2023:02:06 21:01:18,444.5
1,2023:02:06 21:04:38,475.5
2,2023:02:06 21:04:38,551.1
3,2023:02:06 21:04:38,592.0
4,2023:02:06 21:04:38,64.7
5,2023:02:06 21:04:38,431.5
1,2023:02:06 21:07:58,415.5
2,2023:02:06 21:07:58,487.1
3,2023:02:06 21:07:58,118.7
4,2023:02:06 21:07:58,305.5
5,2023:02:06 21:07:58,376.0
1,2023:02:06 21:11:18,525.7
2,2023:02:06 21:11:18,191.7
3,2023:02:06 21:11:18,546.6
4,2023:02:06 21:11:18,57.4
5,2023:02:06 21:11:18,422.0
1,2023:02:06 21:14:38,19.4
2,2023:02:06 21:14:38,197.3
3,2023:02:06 21:14:38,46.3
4,2023:02:06 21:14:38,228.0
5,2023:02:06 21:14:38,281.3
1,2023:02:06 21:17:58,328.5
2,2023:02:06 21:17:58,543.1
3,2023:02:06 21:17:58,418.6
4,2023:02:06 21:17:58,539.6
5,2023:02:06 21:17:58,502.1
1,2023:02:06 21:21:18,321.1
2,2023:02:06 21:21:18,309.6
3,2023:02:06 21:21:18,87.2
4,2023:02:06 21:21:18,528.2
5,2023:02:06 21:21:18,196.4
1,2023:02:06 21:24:38,141.0
2,2023:02:06 21:24:38,311.1
3,2023:02:06 21:24:38,215.0
4,2023:02:06 21:24:38,579.7
5,2023:02:06 21:24:38,49.3
1,2023:02:06 21:27:58,570.2
2,2023:02:06 21:27:58,419.6
3,2023:02:06 21:27:58,79.3
4,2023:02:06 21:27:58,576.4
5,2023:02:06 21:27:58,209.5
1,2023:02:06 21:31:18,95.8
2,2023:02:06 21:31:18,509.0
3,2023:02:06 21:31:18,529.1
4,2023:02:06 21:31:18,194.5
5,2023:02:06 21:31:18,226.2
1,2023:02:06 21:34:38,571.6
2,2023:02:06 21:34:38,556.3
3,2023:02:06 21:34:38,433.1
4,2023:02:06 21:34:38,536.6
5,2023:02:06 21:34:38,103.0
1,2023:02:06 21:37:58,559.5
2,2023:02:06 21:37:58,186.7
3,2023:02:06 21:37:58,248.5
4,2023:02:06 21:37:58,248.7
5,2023:02:06 21:37:58,258.6
1,2023:02:06 21:41:18,584.7
2,2023:02:06 21:41:18,220.2
3,2023:02:06 21:41:18,59.7
4,2023:02:06 21:41:18,170.3
5,2023:02:06 21:41:18,33.2
1,2023:02:06 21:44:38,227.7
2,2023:02:06 21:44:38,527.6
3,2023:02:06 21:44:38,498.2
4,2023:02:06 21:44:38,119.2
5,2023:02:06 21:44:38,154.8
1,2023:02:06 21:47:58,241.7
2,2023:02:06 21:47:58,557.7
3,2023:02:06 21:47:58,345.4
4,2023:02:06 21:47:58,374.2
5,2023:02:06 21:47:58,217.5
1,2023:02:06 21:51:18,229.1
2,2023:02:06 21:51:18,184.4
3,2023:02:06 21:51:18,396.3
4,2023:02:06 21:51:18,507.7
5,2023:02:06 21:51:18,56.1
1,2023:02:06 21:54:38,483.3
2,2023:02:06 21:54:38,234.6
3,2023:02:06 21:54:38,23.6
4,2023:02:06 21:54:38,270.7
5,2023:02:06 21:54:38,139.8
1,2023:02:06 21:57:58,451.5
2,2023:02:06 21:57:58,137.1
3,2023:02:06 21:57:58,452.1
4,2023:02:06 21:57:58,24.1
5,2023:02:06 21:57:58,247.7
1,2023:02:06 22:01:18,234.7
2,2023:02:06 22:01:18,428.0
3,2023:02:06 22:01:18,90.0
4,2023:02:06 22:01:18,464.4
5,2023:02:06 22:01:18,365.6
1,2023:02:06 22:04:38,275.6
2,2023:02:06 22:04:38,552.5
3,2023:02:06 22:04:38,406.7
4,2023:02:06 22:04:38,59.7
5,2023:02:06 22:04:38,41.4
1,2023:02:06 22:07:58,453.1
2,2023:02:06 22:07:58,324.5
3,2023:02:06 22:07:58,440.4
4,2023:02:06 22:07:58,188.8
5,2023:02:06 22:07:58,61.2
1,2023:02:06 22:11:18,465.8
2,2023:02:06 22:11:18,155.8
3,2023:02:06 22:11:18,462.2
4,2023:02:06 22:11:18,477.2
5,2023:02:06 22:11:18,584.2
1,2023:02:06 22:14:38,522.4
2,2023:02:06 22:14:38,490.7
3,2023:02:06 22:14:38,145.5
4,2023:02:06 22:14:38,120.5
5,2023:02:06 22:14:38,451.8
1,2023:02:06 22:17:58,523.2
2,2023:02:06 22:17:58,115.7
3,2023:02:06 22:17:58,229.7
4,2023:02:06 22:17:58,12.7
5,2023:02:06 22:17:58,77.5
1,2023:02:06 22:21:18,27.5
2,2023:02:06 22:21:18,517.0
3,2023:02:06 22:21:18,317.5
4,2023:02:06 22:21:18,538.8
5,2023:02:06 22:21:18,481.2
1,2023:02:06 22:24:38,36.7
2,2023:02:06 22:24:38,81.2
3,2023:02:06 22:24:38,135.7
4,2023:02:06 22:24:38,525.6
5,2023:02:06 22:24:38,272.6
1,2023:02:06 22:27:58,256.6
2,2023:02:06 22:27:58,492.8
3,2023:02:06 22:27:58,511.7
4,2023:02:06 22:27:58,438.2
5,2023:02:06 22:27:58,96.6
1,2023:02:06 22:31:18,335.3
2,2023:02:06 22:31:18,479.3
3,2023:02:06 22:31:18,443.8
4,2023:02:06 22:31:18,103.8
5,2023:02:06 22:31:18,537.7
1,2023:02:06 22:34:38,367.3
2,2023:02:06 22:34:38,451.8
3,2023:02:06 22:34:38,386.4
4,2023:02:06 22:34:38,440.5
5,2023:02:06 22:34:38,484.2
1,2023:02:06 22:37:58,414.2
2,2023:02:06 22:37:58,114.4
3,2023:02:06 22:37:58,427.4
4,2023:02:06 22:37:58,321.3
5,2023:02:06 22:37:58,110.6
1,2023:02:06 22:41:18,241.6
2,2023:02:06 22:41:18,250.5
3,2023:02:06 22:41:18,243.5
4,2023:02:06 22:41:18,371.6
5,2023:02:06 22:41:18,169.3
1,2023:02:06 22:44:38,475.6
2,2023:02:06 22:44:38,94.4
3,2023:02:06 22:44:38,319.7
4,2023:02:06 22:44:38,166.8
5,2023:02:06 22:44:38,278.3
1,2023:02:06 22:47:58,542.0
2,2023:02:06 22:47:58,50.5
3,2023:02:06 22:47:58,503.6
4,2023:02:06 22:47:58,482.4
5,2023:02:06 22:47:58,415.1
1,2023:02:06 22:51:18,158.2
2,2023:02:06 22:51:18,481.4
3,2023:02:06 22:51:18,173.6
4,2023:02:06 22:51:18,470.0
5,2023:02:06 22:51:18,12.5
1,2023:02:06 22:54:38,356.3
2,2023:02:06 22:54:38,504.1
3,2023:02:06 22:54:38,518.0
4,2023:02:06 22:54:38,342.8
5,2023:02:06 22:54:38,252.6
1,2023:02:06 22:57:58,88.2
2,2023:02:06 22:57:58,452.8
3,2023:02:06 22:57:58,67.5
4,2023:02:06 22:57:58,217.8
5,2023:02:06 22:57:58,343.1
1,2023:02:06 23:01:18,299.7
2,2023:02:06 23:01:18,15.8
3,2023:02:06 23:01:18,87.8
4,2023:02:06 23:01:18,401.1
5,2023:02:06 23:01:18,441.4
1,2023:02:06 23:04:38,136.6
2,2023:02:06 23:04:38,343.8
3,2023:02:06 23:04:38,312.6
4,2023:02:06 23:04:38,119.5
5,2023:02:06 23:04:38,481.0
1,2023:02:06 23:07:58,428.1
2,2023:02:06 23:07:58,216.5
3,2023:02:06 23:07:58,453.3
4,2023:02:06 23:07:58,378.4
5,2023:02:06 23:07:58,327.3
1,2023:02:06 23:11:18,299.2
2,2023:02:06 23:11:18,100.5
3,2023:02:06 23:11:18,399.7
4,2023:02:06 23:11:18,516.4
5,2023:02:06 23:11:18,494.3
1,2023:02:06 23:14:38,195.4
2,2023:02:06 23:14:38,261.2
3,2023:02:06 23:14:38,58.0
4,2023:02:06 23:14:38,226.3
5,2023:02:06 23:14:38,210.4
1,2023:02:06 23:17:58,280.5
2,2023:02:06 23:17:58,319.7
3,2023:02:06 23:17:58,308.4
4,2023:02:06 23:17:58,154.5
5,2023:02:06 23:17:58,111.5
1,2023:02:06 23:21:18,217.2
2,2023:02:06 23:21:18,446.8
3,2023:02:06 23:21:18,243.7
4,2023:02:06 23:21:18,182.8
5,2023:02:06 23:21:18,430.7
1,2023:02:06 23:24:38,284.8
2,2023:02:06 23:24:38,436.7
3,2023:02:06 23:24:38,92.3
4,2023:02:06 23:24:38,374.3
5,2023:02:06 23:24:38,439.5
1,2023:02:06 23:27:58,231.5
2,2023:02:06 23:27:58,107.2
3,2023:02:06 23:27:58,28.5
4,2023:02:06 23:27:58,382.2
5,2023:02:06 23:27:58,385.7
1,2023:02:06 23:31:18,282.8
2,2023:02:06 23:31:18,80.2
3,2023:02:06 23:31:18,512.0
4,2023:02:06 23:31:18,15.7
5,2023:02:06 23:31:18,358.3
1,2023:02:06 23:34:38,39.2
2,2023:02:06 23:34:38,338.1
3,2023:02:06 23:34:38,92.7
4,2023:02:06 23:34:38,388.4
5,2023:02:06 23:34:38,338.4
1,2023:02:06 23:37:58,351.3
2,2023:02:06 23:37:58,244.6
3,2023:02:06 23:37:58,377.5
4,2023:02:06 23:37:58,371.6
5,2023:02:06 23:37:58,588.1
1,2023:02:06 23:41:18,477.8
2,2023:02:06 23:41:18,195.1
3,2023:02:06 23:41:18,355.1
4,2023:02:06 23:41:18,264.8
5,2023:02:06 23:41:18,296.2
1,2023:02:06 23:44:38,301.3
2,2023:02:06 23:44:38,399.7
3,2023:02:06 23:44:38,162.8
4,2023:02:06 23:44:38,92.0
5,2023:02:06 23:44:38,431.5
1,2023:02:06 23:47:58,446.2
2,2023:02:06 23:47:58,330.3
3,2023:02:06 23:47:58,147.4
4,2023:02:06 23:47:58,395.1
5,2023:02:06 23:47:58,340.5
1,2023:02:06 23:51:18,518.4
2,2023:02:06 23:51:18,51.3
3,2023:02:06 23:51:18,169.0
4,2023:02:06 23:51:18,259.1
5,2023:02:06 23:51:18,71.2
1,2023:02:06 23:54:38,462.4
2,2023:02:06 23:54:38,212.0
3,2023:02:06 23:54:38,140.3
4,2023:02:06 23:54:38,498.4
5,2023:02:06 23:54:38,555.1
1,2023:02:06 23:57:58,51.1
2,2023:02:06 23:57:58,338.4
3,2023:02:06 23:57:58,512.6
4,2023:02:06 23:57:58,363.1
5,2023:02:06 23:57:58,289.7
1,2023:02:07 00:01:18,240.8
2,2023:02:07 00:01:18,230.5
3,2023:02:07 00:01:18,557.6
4,2023:02:07 00:01:18,150.2
5,2023:02:07 00:01:18,454.5
1,2023:02:07 00:04:38,573.5
2,2023:02:07 00:04:38,418.5
3,2023:02:07 00:04:38,243.5
4,2023:02:07 00:04:38,40.3
5,2023:02:07 00:04:38,155.5
1,2023:02:07 00:07:58,561.2
2,2023:02:07 00:07:58,234.5
3,2023:02:07 00:07:58,231.1
4,2023:02:07 00:07:58,473.7
5,2023:02:07 00:07:58,276.0
1,2023:02:07 00:11:18,467.2
2,2023:02:07 00:11:18,22.7
3,2023:02:07 00:11:18,555.0
4,2023:02:07 00:11:18,410.2
5,2023:02:07 00:11:18,496.1
1,2023:02:07 00:14:38,246.2
2,2023:02:07 00:14:38,514.5
3,2023:02:07 00:14:38,227.1
4,2023:02:07 00:14:38,362.3
5,2023:02:07 00:14:38,155.5
1,2023:02:07 00:17:58,381.0
2,2023:02:07 00:17:58,455.5
3,2023:02:07 00:17:58,250.1
4,2023:02:07 00:17:58,220.3
5,2023:02:07 00:17:58,156.0
1,2023:02:07 00:21:18,399.0
2,2023:02:07 00:21:18,129.3
3,2023:02:07 00:21:18,447.3
4,2023:02:07 00:21:18,156.8
5,2023:02:07 00:21:18,82.6
1,2023:02:07 00:24:38,224.8
