Number of outliers: 1604
id,time,values
2,2023:02:07 01:24:38,3.7
1,2023:02:07 01:37:58,571.0
5,2023:02:07 01:37:58,599.2
4,2023:02:07 01:57:58,562.1
3,2023:02:07 02:04:38,573.3
5,2023:02:07 02:04:38,584.2
4,2023:02:07 02:07:58,569.5
1,2023:02:07 02:14:38,565.7
2,2023:02:07 02:17:58,596.2
3,2023:02:07 02:27:58,566.4
4,2023:02:07 02:31:18,574.6
2,2023:02:07 02:37:58,4.2
5,2023:02:07 02:37:58,582.3
3,2023:02:07 02:44:38,582.7
4,2023:02:07 02:47:58,553.6
4,2023:02:07 03:04:38,591.4
2,2023:02:07 03:14:38,565.8
5,2023:02:07 03:24:38,591.7
1,2023:02:07 03:31:18,560.7
2,2023:02:07 03:31:18,574.2
4,2023:02:07 03:31:18,585.7
3,2023:02:07 03:37:58,568.4
2,2023:02:07 03:44:38,567.2
1,2023:02:07 03:51:18,565.7
4,2023:02:07 04:14:38,571.8
2,2023:02:07 04:27:58,569.3
2,2023:02:07 04:31:18,567.0
1,2023:02:07 05:04:38,579.8
5,2023:02:07 05:07:58,550.8
3,2023:02:07 05:11:18,595.3
2,2023:02:07 05:17:58,595.0
3,2023:02:07 05:24:38,582.7
2,2023:02:07 05:37:58,1.4
3,2023:02:07 05:41:18,0.1
5,2023:02:07 05:41:18,560.7
1,2023:02:07 05:51:18,589.4
3,2023:02:07 05:57:58,573.8
4,2023:02:07 06:01:18,589.8
4,2023:02:07 06:11:18,578.6
4,2023:02:07 06:21:18,566.3
4,2023:02:07 06:47:58,589.4
1,2023:02:07 07:11:18,579.8
4,2023:02:07 07:24:38,562.1
5,2023:02:07 07:34:38,588.2
3,2023:02:07 07:37:58,566.1
5,2023:02:07 07:37:58,591.0
5,2023:02:07 07:54:38,584.7
4,2023:02:07 07:57:58,591.5
5,2023:02:07 08:14:38,560.0
1,2023:02:07 08:37:58,591.5
4,2023:02:07 08:37:58,554.8
2,2023:02:07 08:51:18,571.2
5,2023:02:07 08:51:18,551.3
2,2023:02:07 08:54:38,588.3
3,2023:02:07 09:01:18,559.3
5,2023:02:07 09:04:38,4.1
1,2023:02:07 09:07:58,568.6
5,2023:02:07 09:07:58,559.4
5,2023:02:07 09:11:18,571.1
1,2023:02:07 09:14:38,554.5
2,2023:02:07 09:14:38,588.5
2,2023:02:07 09:34:38,555.6
5,2023:02:07 09:34:38,554.4
3,2023:02:07 09:41:18,567.6
4,2023:02:07 09:47:58,585.2
5,2023:02:07 09:47:58,554.5
5,2023:02:07 10:01:18,595.1
3,2023:02:07 10:11:18,557.3
5,2023:02:07 10:37:58,0.1
4,2023:02:07 10:47:58,577.8
4,2023:02:07 10:57:58,573.4
3,2023:02:07 11:11:18,599.0
2,2023:02:07 11:14:38,562.7
4,2023:02:07 11:27:58,592.7
5,2023:02:07 11:37:58,582.8
5,2023:02:07 11:44:38,573.3
4,2023:02:07 11:51:18,569.0
1,2023:02:07 11:54:38,593.1
4,2023:02:07 11:57:58,581.1
3,2023:02:07 12:17:58,3.3
2,2023:02:07 12:21:18,2.8
3,2023:02:07 12:21:18,561.6
4,2023:02:07 12:24:38,577.7
5,2023:02:07 12:41:18,588.5
3,2023:02:07 12:54:38,4.1
4,2023:02:07 12:54:38,595.3
5,2023:02:07 13:07:58,558.1
3,2023:02:07 13:11:18,573.5
1,2023:02:07 13:14:38,592.5
3,2023:02:07 13:14:38,582.4
4,2023:02:07 13:14:38,551.3
1,2023:02:07 13:17:58,2.8
3,2023:02:07 13:24:38,2.2
3,2023:02:07 13:27:58,564.8
1,2023:02:07 13:37:58,556.6
5,2023:02:07 13:47:58,566.3
4,2023:02:07 13:57:58,3.7
5,2023:02:07 14:11:18,577.4
5,2023:02:07 14:14:38,553.5
5,2023:02:07 14:24:38,1.6
4,2023:02:07 14:41:18,582.3
5,2023:02:07 15:01:18,1.0
2,2023:02:07 15:07:58,597.8
5,2023:02:07 15:14:38,579.1
1,2023:02:07 15:17:58,564.8
1,2023:02:07 15:21:18,591.0
1,2023:02:07 15:27:58,566.7
1,2023:02:07 15:31:18,566.7
3,2023:02:07 15:31:18,581.6
2,2023:02:07 15:44:38,593.0
4,2023:02:07 15:44:38,556.5
5,2023:02:07 16:21:18,4.7
5,2023:02:07 16:24:38,589.6
5,2023:02:07 16:31:18,551.2
3,2023:02:07 16:54:38,567.0
2,2023:02:07 17:01:18,552.2
1,2023:02:07 17:07:58,582.1
5,2023:02:07 17:07:58,568.2
1,2023:02:07 17:17:58,1.2
2,2023:02:07 17:17:58,596.2
5,2023:02:07 17:21:18,1.3
2,2023:02:07 17:34:38,572.7
4,2023:02:07 17:47:58,557.1
2,2023:02:07 17:51:18,584.5
2,2023:02:07 17:54:38,559.0
1,2023:02:07 18:01:18,559.8
2,2023:02:07 18:11:18,595.8
5,2023:02:07 18:17:58,576.3
4,2023:02:07 18:24:38,598.6
5,2023:02:07 18:27:58,3.3
2,2023:02:07 18:31:18,580.7
1,2023:02:07 18:37:58,575.8
4,2023:02:07 18:37:58,576.0
5,2023:02:07 18:44:38,562.1
1,2023:02:07 18:47:58,563.1
2,2023:02:07 18:47:58,555.6
5,2023:02:07 18:54:38,559.8
1,2023:02:07 19:01:18,552.8
3,2023:02:07 19:34:38,550.7
1,2023:02:07 19:41:18,599.4
5,2023:02:07 19:47:58,587.0
2,2023:02:07 19:54:38,553.8
3,2023:02:07 19:54:38,585.5
4,2023:02:07 20:31:18,565.1
2,2023:02:07 20:44:38,585.2
1,2023:02:07 21:01:18,558.1
2,2023:02:07 21:04:38,577.5
1,2023:02:07 21:11:18,580.8
5,2023:02:07 21:11:18,579.3
2,2023:02:07 21:21:18,573.5
5,2023:02:07 21:27:58,577.7
3,2023:02:07 21:41:18,564.1
5,2023:02:07 21:47:58,557.3
3,2023:02:07 22:04:38,569.4
4,2023:02:07 22:07:58,597.6
3,2023:02:07 22:27:58,551.1
4,2023:02:07 23:07:58,594.8
2,2023:02:07 23:14:38,561.6
4,2023:02:07 23:21:18,3.8
2,2023:02:07 23:27:58,560.1
4,2023:02:07 23:27:58,570.3
2,2023:02:07 23:31:18,571.5
5,2023:02:07 23:31:18,2.3
4,2023:02:07 23:34:38,579.6
5,2023:02:07 23:34:38,556.7
5,2023:02:07 23:37:58,569.2
3,2023:02:07 23:54:38,570.8
3,2023:02:07 23:57:58,578.6
1,2023:02:08 00:07:58,588.0
5,2023:02:08 00:07:58,583.0
1,2023:02:08 00:11:18,555.1
2,2023:02:08 00:11:18,595.7
2,2023:02:08 00:14:38,562.0
4,2023:02:08 00:14:38,561.1
1,2023:02:08 00:37:58,587.6
3,2023:02:08 00:37:58,595.3
3,2023:02:08 00:41:18,566.4
4,2023:02:08 00:44:38,558.4
5,2023:02:08 00:51:18,572.2
3,2023:02:08 00:57:58,581.8
3,2023:02:08 01:01:18,552.2
2,2023:02:08 01:04:38,565.4
2,2023:02:08 01:07:58,552.6
1,2023:02:08 01:11:18,556.5
4,2023:02:08 01:11:18,1.3
1,2023:02:08 01:34:38,556.7
1,2023:02:08 01:47:58,4.2
4,2023:02:08 01:51:18,559.7
1,2023:02:08 02:14:38,584.6
4,2023:02:08 02:17:58,563.3
3,2023:02:08 02:27:58,584.2
4,2023:02:08 02:27:58,570.3
5,2023:02:08 02:37:58,580.8
1,2023:02:08 02:54:38,556.4
1,2023:02:08 03:07:58,595.8
5,2023:02:08 03:17:58,568.5
3,2023:02:08 03:21:18,558.1
1,2023:02:08 03:37:58,576.5
3,2023:02:08 03:51:18,573.4
1,2023:02:08 04:17:58,3.6
3,2023:02:08 04:17:58,552.8
2,2023:02:08 04:37:58,561.2
4,2023:02:08 04:41:18,597.4
2,2023:02:08 04:54:38,571.8
3,2023:02:08 05:01:18,566.3
5,2023:02:08 05:04:38,583.3
3,2023:02:08 05:07:58,565.6
2,2023:02:08 05:11:18,573.7
5,2023:02:08 05:11:18,569.5
2,2023:02:08 05:14:38,559.5
4,2023:02:08 05:17:58,558.7
4,2023:02:08 05:21:18,597.5
3,2023:02:08 05:27:58,4.0
1,2023:02:08 05:31:18,578.5
4,2023:02:08 05:34:38,599.2
5,2023:02:08 05:37:58,578.2
1,2023:02:08 05:41:18,595.0
2,2023:02:08 05:41:18,597.8
5,2023:02:08 05:44:38,574.0
3,2023:02:08 05:54:38,556.5
3,2023:02:08 06:27:58,598.1
1,2023:02:08 06:37:58,567.0
2,2023:02:08 06:37:58,552.6
3,2023:02:08 06:41:18,2.2
3,2023:02:08 07:07:58,3.5
1,2023:02:08 07:14:38,566.2
3,2023:02:08 07:14:38,593.7
4,2023:02:08 07:14:38,567.7
5,2023:02:08 07:34:38,593.0
2,2023:02:08 07:37:58,582.0
3,2023:02:08 07:41:18,3.7
5,2023:02:08 07:47:58,551.1
5,2023:02:08 07:54:38,567.7
1,2023:02:08 08:04:38,565.4
5,2023:02:08 08:07:58,579.3
1,2023:02:08 08:14:38,551.6
1,2023:02:08 08:17:58,574.4
3,2023:02:08 08:34:38,4.3
1,2023:02:08 08:41:18,553.6
3,2023:02:08 08:47:58,0.0
3,2023:02:08 09:14:38,561.6
3,2023:02:08 09:17:58,574.8
5,2023:02:08 09:17:58,585.5
1,2023:02:08 09:24:38,3.0
5,2023:02:08 09:31:18,593.1
1,2023:02:08 10:11:18,597.0
3,2023:02:08 10:21:18,562.1
4,2023:02:08 10:21:18,573.7
2,2023:02:08 10:44:38,597.3
2,2023:02:08 10:47:58,592.7
5,2023:02:08 11:01:18,575.1
3,2023:02:08 11:04:38,589.6
1,2023:02:08 11:14:38,585.5
2,2023:02:08 11:14:38,561.4
5,2023:02:08 11:14:38,556.0
4,2023:02:08 11:21:18,3.7
4,2023:02:08 11:24:38,557.5
3,2023:02:08 11:41:18,583.3
5,2023:02:08 11:41:18,584.2
5,2023:02:08 12:14:38,580.7
1,2023:02:08 12:17:58,577.6
3,2023:02:08 12:21:18,588.0
5,2023:02:08 12:21:18,554.5
1,2023:02:08 12:24:38,574.6
3,2023:02:08 12:24:38,574.2
3,2023:02:08 12:27:58,584.6
4,2023:02:08 12:34:38,575.6
5,2023:02:08 12:44:38,3.8
2,2023:02:08 12:51:18,567.0
5,2023:02:08 13:04:38,576.0
4,2023:02:08 13:14:38,563.7
2,2023:02:08 13:24:38,582.0
1,2023:02:08 13:27:58,568.2
2,2023:02:08 13:37:58,590.5
2,2023:02:08 14:07:58,596.2
3,2023:02:08 14:31:18,595.0
3,2023:02:08 14:41:18,575.7
5,2023:02:08 14:41:18,551.3
5,2023:02:08 14:54:38,591.2
3,2023:02:08 15:21:18,590.3
1,2023:02:08 15:31:18,581.4
5,2023:02:08 15:41:18,1.5
3,2023:02:08 15:44:38,576.3
4,2023:02:08 15:44:38,560.8
1,2023:02:08 15:47:58,586.4
2,2023:02:08 15:57:58,581.3
4,2023:02:08 16:24:38,584.8
1,2023:02:08 16:31:18,550.6
4,2023:02:08 16:37:58,566.1
2,2023:02:08 16:47:58,557.3
2,2023:02:08 17:14:38,4.1
3,2023:02:08 17:34:38,599.3
2,2023:02:08 17:37:58,560.2
5,2023:02:08 18:01:18,585.0
4,2023:02:08 18:04:38,583.6
2,2023:02:08 18:14:38,564.7
4,2023:02:08 18:14:38,598.6
3,2023:02:08 18:21:18,581.2
3,2023:02:08 18:31:18,591.5
2,2023:02:08 18:54:38,556.1
1,2023:02:08 18:57:58,555.3
4,2023:02:08 19:14:38,568.7
3,2023:02:08 19:21:18,551.6
3,2023:02:08 19:24:38,574.2
2,2023:02:08 19:34:38,589.6
5,2023:02:08 19:37:58,559.4
4,2023:02:08 19:41:18,588.1
5,2023:02:08 19:44:38,564.5
1,2023:02:08 19:51:18,559.7
4,2023:02:08 20:01:18,599.8
2,2023:02:08 20:14:38,1.8
3,2023:02:08 20:14:38,597.6
5,2023:02:08 20:14:38,551.1
5,2023:02:08 20:21:18,569.5
1,2023:02:08 20:27:58,597.5
1,2023:02:08 20:34:38,564.2
1,2023:02:08 20:44:38,0.5
5,2023:02:08 20:44:38,0.7
1,2023:02:08 20:51:18,588.2
3,2023:02:08 21:04:38,573.6
1,2023:02:08 21:07:58,559.6
3,2023:02:08 21:07:58,579.2
2,2023:02:08 21:27:58,551.0
5,2023:02:08 21:41:18,573.4
5,2023:02:08 21:51:18,566.7
2,2023:02:08 22:01:18,0.5
3,2023:02:08 22:04:38,594.7
2,2023:02:08 22:17:58,589.3
2,2023:02:08 22:24:38,583.0
5,2023:02:08 22:34:38,560.3
1,2023:02:08 22:41:18,582.0
2,2023:02:08 22:41:18,573.2
5,2023:02:08 22:44:38,556.4
2,2023:02:08 22:51:18,574.6
5,2023:02:08 22:51:18,596.5
2,2023:02:08 23:01:18,557.4
3,2023:02:08 23:21:18,595.7
2,2023:02:08 23:24:38,590.6
1,2023:02:08 23:27:58,594.0
4,2023:02:08 23:41:18,576.2
5,2023:02:08 23:41:18,573.1
1,2023:02:08 23:44:38,561.8
4,2023:02:08 23:44:38,563.1
5,2023:02:08 23:47:58,550.6
2,2023:02:08 23:51:18,595.8
5,2023:02:08 23:57:58,559.4
3,2023:02:09 00:04:38,578.2
4,2023:02:09 00:07:58,581.5
2,2023:02:09 00:11:18,593.1
4,2023:02:09 00:17:58,594.6
1,2023:02:09 00:21:18,583.7
1,2023:02:09 00:27:58,556.1
3,2023:02:09 00:37:58,595.8
5,2023:02:09 00:41:18,554.3
1,2023:02:09 00:54:38,586.4
2,2023:02:09 01:11:18,563.5
3,2023:02:09 01:11:18,550.6
5,2023:02:09 01:11:18,583.2
5,2023:02:09 01:14:38,577.6
2,2023:02:09 01:17:58,589.0
1,2023:02:09 01:21:18,568.6
5,2023:02:09 01:24:38,554.7
4,2023:02:09 01:27:58,589.2
5,2023:02:09 01:27:58,564.7
2,2023:02:09 01:41:18,569.6
1,2023:02:09 01:54:38,591.0
2,2023:02:09 02:07:58,570.6
4,2023:02:09 02:11:18,588.8
3,2023:02:09 02:17:58,551.2
3,2023:02:09 02:21:18,581.0
5,2023:02:09 02:24:38,2.0
5,2023:02:09 02:27:58,584.8
4,2023:02:09 02:37:58,593.7
4,2023:02:09 03:11:18,585.5
1,2023:02:09 03:14:38,587.7
3,2023:02:09 03:14:38,582.6
3,2023:02:09 03:17:58,580.8
1,2023:02:09 03:21:18,564.6
4,2023:02:09 03:21:18,565.6
5,2023:02:09 03:31:18,581.0
3,2023:02:09 03:34:38,564.7
5,2023:02:09 03:37:58,564.7
4,2023:02:09 03:47:58,578.6
3,2023:02:09 03:57:58,584.4
2,2023:02:09 04:04:38,585.3
4,2023:02:09 04:11:18,564.3
2,2023:02:09 04:14:38,562.6
5,2023:02:09 04:21:18,568.1
3,2023:02:09 04:31:18,554.4
1,2023:02:09 04:41:18,575.3
1,2023:02:09 04:44:38,561.5
5,2023:02:09 04:47:58,577.6
4,2023:02:09 04:51:18,562.6
2,2023:02:09 05:07:58,575.7
3,2023:02:09 05:14:38,585.7
5,2023:02:09 05:21:18,562.1
3,2023:02:09 05:37:58,577.8
4,2023:02:09 05:44:38,582.7
5,2023:02:09 05:44:38,555.7
1,2023:02:09 05:47:58,570.0
5,2023:02:09 06:01:18,586.4
1,2023:02:09 06:07:58,574.2
1,2023:02:09 06:17:58,567.0
3,2023:02:09 06:24:38,598.1
2,2023:02:09 06:37:58,565.3
2,2023:02:09 06:54:38,4.7
4,2023:02:09 07:27:58,556.1
3,2023:02:09 07:37:58,595.7
2,2023:02:09 08:04:38,555.2
2,2023:02:09 08:14:38,556.6
5,2023:02:09 08:14:38,586.7
5,2023:02:09 08:21:18,559.0
5,2023:02:09 08:31:18,560.3
3,2023:02:09 08:41:18,552.0
1,2023:02:09 08:51:18,2.0
5,2023:02:09 08:54:38,553.6
2,2023:02:09 08:57:58,597.7
1,2023:02:09 09:07:58,557.4
1,2023:02:09 09:11:18,560.1
2,2023:02:09 09:11:18,583.7
3,2023:02:09 09:17:58,572.3
5,2023:02:09 09:31:18,590.2
3,2023:02:09 09:37:58,578.5
2,2023:02:09 09:57:58,569.4
4,2023:02:09 10:07:58,555.3
2,2023:02:09 10:11:18,575.7
1,2023:02:09 10:44:38,591.5
2,2023:02:09 10:47:58,558.7
3,2023:02:09 10:47:58,581.6
3,2023:02:09 10:51:18,0.6
5,2023:02:09 10:51:18,2.7
5,2023:02:09 10:54:38,557.6
1,2023:02:09 10:57:58,567.4
1,2023:02:09 11:21:18,587.0
5,2023:02:09 11:24:38,596.8
3,2023:02:09 11:27:58,595.3
4,2023:02:09 11:27:58,590.1
2,2023:02:09 11:34:38,587.5
5,2023:02:09 11:34:38,593.1
4,2023:02:09 11:47:58,4.7
2,2023:02:09 11:57:58,559.6
1,2023:02:09 12:01:18,554.7
4,2023:02:09 12:04:38,562.7
5,2023:02:09 12:17:58,1.6
4,2023:02:09 12:21:18,588.5
1,2023:02:09 12:27:58,556.6
4,2023:02:09 12:27:58,593.8
1,2023:02:09 12:34:38,564.5
3,2023:02:09 12:34:38,582.2
1,2023:02:09 12:44:38,567.4
5,2023:02:09 12:54:38,573.2
4,2023:02:09 12:57:58,588.4
3,2023:02:09 13:07:58,577.4
4,2023:02:09 13:07:58,596.3
1,2023:02:09 13:31:18,562.2
2,2023:02:09 13:41:18,587.7
3,2023:02:09 13:41:18,576.0
3,2023:02:09 13:47:58,561.6
2,2023:02:09 13:51:18,556.3
5,2023:02:09 13:54:38,596.8
5,2023:02:09 14:07:58,582.6
1,2023:02:09 14:17:58,585.3
1,2023:02:09 14:21:18,588.1
5,2023:02:09 14:24:38,555.3
3,2023:02:09 14:31:18,596.2
2,2023:02:09 14:44:38,4.2
2,2023:02:09 14:54:38,574.4
5,2023:02:09 15:01:18,572.3
1,2023:02:09 15:34:38,578.0
2,2023:02:09 15:34:38,583.3
2,2023:02:09 15:37:58,573.2
2,2023:02:09 16:01:18,558.1
3,2023:02:09 16:14:38,562.5
4,2023:02:09 16:21:18,565.0
4,2023:02:09 16:31:18,599.2
5,2023:02:09 16:44:38,575.4
2,2023:02:09 16:47:58,584.1
1,2023:02:09 16:54:38,572.3
3,2023:02:09 17:01:18,4.1
4,2023:02:09 17:04:38,586.0
1,2023:02:09 17:21:18,557.7
3,2023:02:09 17:34:38,582.1
2,2023:02:09 17:57:58,588.8
4,2023:02:09 18:21:18,598.2
2,2023:02:09 18:31:18,593.8
2,2023:02:09 18:34:38,577.7
3,2023:02:09 18:44:38,2.5
4,2023:02:09 18:54:38,2.4
1,2023:02:09 19:17:58,571.2
1,2023:02:09 19:34:38,560.6
5,2023:02:09 19:34:38,561.6
5,2023:02:09 19:37:58,591.7
2,2023:02:09 19:41:18,574.2
3,2023:02:09 19:41:18,593.4
3,2023:02:09 20:01:18,0.6
4,2023:02:09 20:01:18,585.4
1,2023:02:09 20:04:38,4.1
5,2023:02:09 20:04:38,566.1
5,2023:02:09 20:07:58,581.2
2,2023:02:09 20:11:18,578.8
4,2023:02:09 20:21:18,590.4
1,2023:02:09 20:24:38,580.4
4,2023:02:09 20:24:38,583.8
1,2023:02:09 20:27:58,592.5
4,2023:02:09 20:27:58,598.8
5,2023:02:09 20:27:58,582.7
2,2023:02:09 20:31:18,578.4
3,2023:02:09 20:41:18,592.1
2,2023:02:09 20:57:58,3.8
3,2023:02:09 21:01:18,552.0
2,2023:02:09 21:04:38,573.6
1,2023:02:09 21:07:58,1.0
5,2023:02:09 21:11:18,599.0
3,2023:02:09 21:14:38,585.3
4,2023:02:09 21:17:58,578.4
5,2023:02:09 21:21:18,574.8
2,2023:02:09 21:24:38,599.4
2,2023:02:09 21:27:58,559.6
4,2023:02:09 21:37:58,589.1
3,2023:02:09 21:41:18,580.4
5,2023:02:09 21:41:18,570.4
2,2023:02:09 21:51:18,570.1
5,2023:02:09 21:57:58,557.2
1,2023:02:09 22:01:18,596.0
1,2023:02:09 22:11:18,565.5
1,2023:02:09 22:14:38,557.0
3,2023:02:09 22:14:38,595.1
1,2023:02:09 22:27:58,2.8
5,2023:02:09 22:47:58,555.1
4,2023:02:09 22:51:18,551.8
5,2023:02:09 23:04:38,594.4
1,2023:02:09 23:07:58,594.2
5,2023:02:09 23:07:58,563.2
3,2023:02:09 23:11:18,558.8
2,2023:02:09 23:21:18,580.0
3,2023:02:09 23:24:38,555.0
2,2023:02:09 23:34:38,588.6
3,2023:02:09 23:37:58,594.1
2,2023:02:09 23:44:38,2.4
2,2023:02:09 23:51:18,559.0
3,2023:02:09 23:54:38,580.1
4,2023:02:09 23:57:58,567.0
4,2023:02:10 00:17:58,556.0
3,2023:02:10 00:21:18,553.1
4,2023:02:10 00:21:18,597.8
4,2023:02:10 00:24:38,586.5
5,2023:02:10 00:27:58,584.8
4,2023:02:10 00:31:18,4.7
1,2023:02:10 00:34:38,560.4
5,2023:02:10 00:34:38,557.6
2,2023:02:10 00:41:18,585.6
5,2023:02:10 00:41:18,586.2
2,2023:02:10 00:51:18,585.5
5,2023:02:10 00:51:18,570.7
5,2023:02:10 00:54:38,567.4
1,2023:02:10 00:57:58,576.2
4,2023:02:10 01:07:58,590.6
4,2023:02:10 01:11:18,563.2
1,2023:02:10 01:21:18,593.8
4,2023:02:10 01:21:18,593.2
4,2023:02:10 01:34:38,597.4
2,2023:02:10 01:44:38,589.7
3,2023:02:10 01:54:38,580.8
1,2023:02:10 01:57:58,594.2
2,2023:02:10 02:01:18,570.0
2,2023:02:10 02:04:38,590.2
4,2023:02:10 02:17:58,589.1
2,2023:02:10 02:21:18,560.7
2,2023:02:10 02:34:38,582.3
5,2023:02:10 02:37:58,568.7
4,2023:02:10 02:47:58,565.7
3,2023:02:10 02:51:18,599.7
1,2023:02:10 03:07:58,556.7
1,2023:02:10 03:21:18,3.1
1,2023:02:10 03:24:38,593.1
3,2023:02:10 03:27:58,591.2
2,2023:02:10 03:31:18,596.5
4,2023:02:10 03:31:18,557.6
5,2023:02:10 03:31:18,590.1
3,2023:02:10 03:37:58,565.4
2,2023:02:10 03:41:18,555.8
1,2023:02:10 03:44:38,588.0
3,2023:02:10 03:57:58,597.7
4,2023:02:10 04:24:38,550.8
2,2023:02:10 04:31:18,565.4
5,2023:02:10 04:31:18,564.4
1,2023:02:10 04:37:58,573.5
4,2023:02:10 04:41:18,597.7
2,2023:02:10 05:01:18,551.4
1,2023:02:10 05:14:38,555.0
3,2023:02:10 05:14:38,567.3
2,2023:02:10 05:21:18,568.1
5,2023:02:10 05:27:58,565.5
4,2023:02:10 05:41:18,576.5
2,2023:02:10 05:44:38,4.3
5,2023:02:10 05:44:38,574.3
5,2023:02:10 06:01:18,591.3
4,2023:02:10 06:07:58,595.0
4,2023:02:10 06:11:18,555.4
2,2023:02:10 06:14:38,1.8
3,2023:02:10 06:17:58,596.1
2,2023:02:10 06:31:18,592.1
4,2023:02:10 06:37:58,573.3
5,2023:02:10 06:47:58,571.6
4,2023:02:10 06:51:18,588.1
1,2023:02:10 06:57:58,590.1
2,2023:02:10 07:11:18,597.8
5,2023:02:10 07:14:38,592.8
5,2023:02:10 07:27:58,590.8
1,2023:02:10 07:31:18,569.7
2,2023:02:10 07:37:58,559.4
3,2023:02:10 07:37:58,2.2
1,2023:02:10 07:44:38,554.6
1,2023:02:10 07:57:58,559.4
3,2023:02:10 07:57:58,563.5
3,2023:02:10 08:04:38,567.4
3,2023:02:10 08:14:38,572.1
4,2023:02:10 08:21:18,582.1
2,2023:02:10 08:24:38,597.0
4,2023:02:10 08:24:38,569.5
5,2023:02:10 08:34:38,579.2
1,2023:02:10 08:41:18,555.2
3,2023:02:10 08:41:18,580.1
3,2023:02:10 08:44:38,597.0
5,2023:02:10 08:47:58,558.7
1,2023:02:10 09:04:38,564.7
5,2023:02:10 09:07:58,596.2
5,2023:02:10 09:14:38,580.3
3,2023:02:10 09:24:38,0.2
2,2023:02:10 09:34:38,555.3
5,2023:02:10 09:34:38,585.3
1,2023:02:10 09:37:58,573.3
2,2023:02:10 09:37:58,597.4
1,2023:02:10 09:41:18,1.6
5,2023:02:10 09:41:18,587.4
5,2023:02:10 09:54:38,572.2
2,2023:02:10 10:04:38,575.0
5,2023:02:10 10:14:38,591.1
3,2023:02:10 10:21:18,572.1
5,2023:02:10 10:27:58,578.0
3,2023:02:10 10:31:18,572.1
2,2023:02:10 10:34:38,576.5
5,2023:02:10 11:04:38,599.0
5,2023:02:10 11:07:58,557.2
1,2023:02:10 11:21:18,596.5
5,2023:02:10 11:24:38,596.3
5,2023:02:10 11:34:38,575.7
3,2023:02:10 12:04:38,589.5
4,2023:02:10 12:04:38,574.5
1,2023:02:10 12:14:38,556.1
4,2023:02:10 12:14:38,594.0
5,2023:02:10 12:14:38,2.0
2,2023:02:10 12:27:58,573.1
3,2023:02:10 12:41:18,579.0
4,2023:02:10 12:41:18,585.4
1,2023:02:10 12:47:58,562.6
3,2023:02:10 12:47:58,564.7
4,2023:02:10 12:47:58,583.5
5,2023:02:10 12:54:38,2.4
2,2023:02:10 13:01:18,561.3
3,2023:02:10 13:21:18,599.2
1,2023:02:10 13:24:38,594.1
2,2023:02:10 13:31:18,558.7
3,2023:02:10 13:34:38,1.0
2,2023:02:10 13:51:18,555.6
4,2023:02:10 13:54:38,559.4
4,2023:02:10 14:04:38,552.4
3,2023:02:10 14:17:58,573.6
3,2023:02:10 14:21:18,597.5
4,2023:02:10 14:21:18,555.8
1,2023:02:10 14:24:38,578.8
2,2023:02:10 14:24:38,558.3
3,2023:02:10 14:37:58,557.5
5,2023:02:10 14:41:18,574.7
2,2023:02:10 14:47:58,595.2
2,2023:02:10 15:04:38,553.3
3,2023:02:10 15:04:38,561.1
2,2023:02:10 15:27:58,556.7
